epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,2882.46,0.49135,0.91861,0.71664,0.95694,0,0.41063,0.26362,0.24418,0.19498,0.41048,0.26512,0.24518,0.18619,0.82495,1.8461,2.37025,1.27358,0,5.73996e-05,5.73996e-05,5.73996e-05
60,2930.78,0.48515,0.90775,0.69477,0.95179,0,0.4491,0.24412,0.23967,0.19201,0.44958,0.25055,0.24435,0.18469,0.83547,1.89909,2.42823,1.28236,0,5.67858e-05,5.67858e-05,5.67858e-05
61,2979.03,0.48299,0.91377,0.70313,0.95393,0,0.43274,0.25912,0.24846,0.2017,0.43298,0.25956,0.24614,0.19073,0.82479,1.90208,2.37866,1.26373,0,5.6172e-05,5.6172e-05,5.6172e-05
62,3027.38,0.48642,0.90139,0.69816,0.94994,0,0.40271,0.2681,0.2507,0.20093,0.41097,0.26753,0.25108,0.19111,0.82861,1.88501,2.41582,1.27955,0,5.55582e-05,5.55582e-05,5.55582e-05
63,3075.82,0.47338,0.88732,0.68058,0.93943,0,0.41142,0.2727,0.25204,0.20012,0.41426,0.27646,0.25158,0.19278,0.83091,1.89829,2.32796,1.27924,0,5.49444e-05,5.49444e-05,5.49444e-05
64,3124.17,0.47877,0.91257,0.67586,0.94996,0,0.47871,0.24832,0.2466,0.19633,0.48819,0.24726,0.24469,0.18648,0.83446,1.87527,2.37934,1.27401,0,5.43306e-05,5.43306e-05,5.43306e-05
65,3172.46,0.47265,0.89173,0.67005,0.94796,0,0.38843,0.26387,0.25335,0.20378,0.38883,0.2661,0.25622,0.19468,0.8212,1.86235,2.41674,1.26307,0,5.37168e-05,5.37168e-05,5.37168e-05
66,3220.96,0.47325,0.87884,0.66165,0.94435,0,0.37633,0.28033,0.25257,0.20355,0.37981,0.28447,0.25468,0.19476,0.8213,1.91158,2.38886,1.27021,0,5.3103e-05,5.3103e-05,5.3103e-05
67,3269.47,0.47757,0.88845,0.65793,0.94842,0,0.42238,0.27088,0.24683,0.19821,0.42562,0.27432,0.24664,0.19071,0.82042,1.88469,2.37737,1.26716,0,5.24892e-05,5.24892e-05,5.24892e-05
68,3317.9,0.4686,0.87014,0.6515,0.94268,0,0.4117,0.26532,0.24388,0.19746,0.41429,0.26697,0.24455,0.18963,0.8321,1.98885,2.39652,1.27909,0,5.18754e-05,5.18754e-05,5.18754e-05
69,3366.47,0.46682,0.88013,0.64385,0.93686,0,0.43347,0.26149,0.24908,0.19753,0.4374,0.26105,0.25225,0.19051,0.82432,1.89262,2.37223,1.27811,0,5.12616e-05,5.12616e-05,5.12616e-05
70,3415.14,0.46879,0.85562,0.61464,0.93885,0,0.52495,0.24009,0.2571,0.20507,0.53231,0.24608,0.26191,0.19747,0.83192,1.86195,2.40561,1.27354,0,5.06478e-05,5.06478e-05,5.06478e-05
71,3463.79,0.46491,0.86547,0.64195,0.9407,0,0.45882,0.26081,0.25238,0.20243,0.46141,0.2649,0.25825,0.19639,0.82621,1.8439,2.37462,1.26378,0,5.0034e-05,5.0034e-05,5.0034e-05
72,3512.15,0.47102,0.88605,0.63079,0.9453,0,0.33449,0.27876,0.2542,0.20651,0.47202,0.24295,0.25808,0.1973,0.83937,1.92315,2.44194,1.28813,0,4.94202e-05,4.94202e-05,4.94202e-05
73,3560.75,0.4596,0.86165,0.62285,0.94098,0,0.41987,0.26359,0.25224,0.20622,0.42284,0.26449,0.25507,0.1956,0.81751,1.90448,2.40697,1.2556,0,4.88064e-05,4.88064e-05,4.88064e-05
74,3609.12,0.46197,0.86295,0.61543,0.93479,0,0.48296,0.23341,0.24621,0.19926,0.48859,0.23706,0.25155,0.19144,0.82797,1.88576,2.41107,1.26593,0,4.81926e-05,4.81926e-05,4.81926e-05
75,3657.8,0.45771,0.85638,0.61678,0.93551,0,0.37415,0.27769,0.24238,0.19624,0.37476,0.27902,0.2461,0.18933,0.82713,1.92952,2.41267,1.26925,0,4.75788e-05,4.75788e-05,4.75788e-05
76,3706.09,0.46318,0.88717,0.61852,0.93616,0,0.34907,0.27444,0.24392,0.19795,0.35105,0.27672,0.2466,0.18986,0.82849,1.90084,2.38573,1.26779,0,4.6965e-05,4.6965e-05,4.6965e-05
77,3754.41,0.46116,0.86646,0.62311,0.93599,0,0.40829,0.27057,0.24279,0.19613,0.41275,0.26971,0.24576,0.18919,0.83258,1.8882,2.40792,1.27211,0,4.63512e-05,4.63512e-05,4.63512e-05
78,3802.8,0.45327,0.8427,0.60667,0.93365,0,0.45882,0.25418,0.23983,0.19467,0.46412,0.25844,0.24549,0.18566,0.81929,1.88904,2.40334,1.26932,0,4.57374e-05,4.57374e-05,4.57374e-05
79,3851.31,0.44468,0.82932,0.58511,0.92599,0,0.38819,0.28284,0.24975,0.20063,0.39244,0.28462,0.25214,0.19351,0.83116,1.90945,2.41773,1.27856,0,4.51236e-05,4.51236e-05,4.51236e-05
80,3899.79,0.44396,0.81909,0.58126,0.92985,0,0.42822,0.28446,0.26279,0.21205,0.4323,0.28979,0.26626,0.20429,0.83337,1.9002,2.40072,1.27677,0,4.45098e-05,4.45098e-05,4.45098e-05
81,3948.42,0.4424,0.82347,0.59143,0.92627,0,0.48827,0.23222,0.25321,0.20477,0.49171,0.23497,0.25591,0.19459,0.83591,1.90522,2.39691,1.28136,0,4.3896e-05,4.3896e-05,4.3896e-05
82,3996.77,0.44499,0.82592,0.57769,0.92864,0,0.41006,0.26297,0.24784,0.20129,0.41947,0.2595,0.24911,0.19308,0.82989,1.91784,2.42219,1.2723,0,4.32822e-05,4.32822e-05,4.32822e-05
83,4045.19,0.44929,0.83887,0.58981,0.92901,0,0.44161,0.25727,0.2505,0.20048,0.44363,0.26037,0.25286,0.19272,0.83473,1.98425,2.41706,1.28243,0,4.26684e-05,4.26684e-05,4.26684e-05
84,4093.41,0.44314,0.83756,0.58257,0.93224,0,0.39828,0.26059,0.24418,0.19835,0.40049,0.26156,0.24797,0.18982,0.83582,1.87198,2.42022,1.27464,0,4.20546e-05,4.20546e-05,4.20546e-05
85,4141.73,0.44668,0.8269,0.57684,0.93075,0,0.39267,0.26922,0.24741,0.2015,0.39497,0.26947,0.25009,0.19216,0.84083,1.91701,2.47011,1.28881,0,4.14408e-05,4.14408e-05,4.14408e-05
86,4190.02,0.44658,0.84465,0.60105,0.93385,0,0.43574,0.26716,0.24816,0.20335,0.4384,0.26959,0.24888,0.19359,0.81179,1.83808,2.37786,1.24782,0,4.0827e-05,4.0827e-05,4.0827e-05
87,4238.75,0.44648,0.83421,0.56445,0.92546,0,0.40465,0.26684,0.24901,0.20183,0.40819,0.27026,0.25276,0.19247,0.81843,1.85618,2.42639,1.2615,0,4.02132e-05,4.02132e-05,4.02132e-05
88,4287.56,0.4403,0.82092,0.5635,0.92944,0,0.4145,0.27174,0.2498,0.20241,0.41902,0.27604,0.25461,0.19275,0.81766,1.91625,2.41669,1.2613,0,3.95994e-05,3.95994e-05,3.95994e-05
89,4336.54,0.44086,0.82813,0.57303,0.9281,0,0.46025,0.24552,0.24593,0.20137,0.46589,0.24945,0.25167,0.1945,0.8185,1.90719,2.39646,1.25863,0,3.89856e-05,3.89856e-05,3.89856e-05
90,4385.12,0.439,0.82445,0.56151,0.925,0,0.43973,0.24775,0.24495,0.20047,0.44474,0.25093,0.2489,0.19065,0.83925,1.92692,2.46683,1.29026,0,3.83718e-05,3.83718e-05,3.83718e-05
91,4433.44,0.43762,0.82091,0.56281,0.92677,0,0.46697,0.24327,0.2528,0.2066,0.47475,0.248,0.25947,0.19972,0.81868,1.87176,2.38462,1.26327,0,3.7758e-05,3.7758e-05,3.7758e-05
92,4481.69,0.43364,0.82107,0.55032,0.92484,0,0.45821,0.25315,0.25075,0.20171,0.46369,0.2554,0.2527,0.19337,0.82382,1.90451,2.41433,1.26351,0,3.71442e-05,3.71442e-05,3.71442e-05
93,4530.14,0.43366,0.81382,0.5441,0.92328,0,0.39825,0.26184,0.24647,0.19994,0.40252,0.26803,0.25227,0.19338,0.82335,1.86635,2.42564,1.27352,0,3.65304e-05,3.65304e-05,3.65304e-05
