epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,11676.7,0.52977,1.00574,0.86334,0.9823,0,0.45908,0.36734,0.35372,0.28991,0.4605,0.36349,0.35313,0.2758,0.70107,1.45593,1.6337,1.12401,0,4.97271e-05,4.97271e-05,4.97271e-05
49,11918.1,0.52614,0.99868,0.84941,0.97899,0,0.46212,0.36321,0.34873,0.28521,0.464,0.36367,0.34979,0.27211,0.70618,1.47458,1.66418,1.13324,0,4.88064e-05,4.88064e-05,4.88064e-05
50,12160.7,0.5255,0.99639,0.84199,0.97895,0,0.50395,0.34251,0.35017,0.28529,0.50588,0.34257,0.34977,0.27105,0.70409,1.50003,1.66205,1.1347,0,4.78857e-05,4.78857e-05,4.78857e-05
51,12401.1,0.52057,0.98796,0.83246,0.97843,0,0.50971,0.34255,0.34522,0.28126,0.49925,0.34616,0.34386,0.26771,0.70969,1.49644,1.65455,1.13997,0,4.6965e-05,4.6965e-05,4.6965e-05
52,12641.6,0.52144,0.98497,0.81471,0.97576,0,0.5017,0.34219,0.34349,0.28174,0.50034,0.34355,0.34505,0.26805,0.70601,1.50122,1.67538,1.13494,0,4.60443e-05,4.60443e-05,4.60443e-05
53,12882.9,0.51947,0.98443,0.81872,0.97454,0,0.48074,0.35206,0.34976,0.28631,0.48031,0.35768,0.3524,0.27261,0.7105,1.50817,1.68446,1.14151,0,4.51236e-05,4.51236e-05,4.51236e-05
54,13125,0.51467,0.97056,0.80575,0.97206,0,0.47786,0.34166,0.34256,0.28313,0.4838,0.34461,0.34477,0.26909,0.70679,1.49823,1.68134,1.1362,0,4.42029e-05,4.42029e-05,4.42029e-05
55,13367.3,0.51185,0.96981,0.7956,0.97073,0,0.47483,0.35487,0.34763,0.28441,0.48162,0.35557,0.34853,0.26978,0.70746,1.50704,1.68265,1.14038,0,4.32822e-05,4.32822e-05,4.32822e-05
56,13607.4,0.51512,0.97127,0.78755,0.97067,0,0.48333,0.35714,0.34885,0.28639,0.49862,0.34701,0.34877,0.27318,0.70752,1.51133,1.67453,1.14282,0,4.23615e-05,4.23615e-05,4.23615e-05
57,13848.1,0.51253,0.96613,0.78568,0.96962,0,0.49976,0.35529,0.35205,0.28783,0.5079,0.3556,0.3551,0.27586,0.70687,1.5144,1.67963,1.13704,0,4.14408e-05,4.14408e-05,4.14408e-05
58,14087.3,0.50948,0.95975,0.77886,0.9692,0,0.49299,0.36152,0.35225,0.28655,0.50138,0.35525,0.35263,0.27297,0.71066,1.52491,1.68491,1.14282,0,4.05201e-05,4.05201e-05,4.05201e-05
59,14327.7,0.50538,0.95502,0.75267,0.96427,0,0.49942,0.35452,0.35338,0.28911,0.49723,0.35517,0.35352,0.2766,0.70678,1.52804,1.67881,1.13973,0,3.95994e-05,3.95994e-05,3.95994e-05
60,14569.8,0.51069,0.96806,0.76721,0.96509,0,0.50502,0.3494,0.35195,0.28769,0.5037,0.35076,0.35432,0.27383,0.70487,1.51042,1.68158,1.13594,0,3.86787e-05,3.86787e-05,3.86787e-05
61,14811.3,0.50759,0.95864,0.75674,0.96627,0,0.50602,0.36275,0.35922,0.29142,0.50718,0.3605,0.35779,0.278,0.70392,1.52264,1.67806,1.13774,0,3.7758e-05,3.7758e-05,3.7758e-05
62,15053.2,0.5062,0.9556,0.74984,0.96523,0,0.45697,0.37189,0.35673,0.29115,0.45491,0.37269,0.35799,0.27734,0.7051,1.53019,1.67674,1.13408,0,3.68373e-05,3.68373e-05,3.68373e-05
63,15295,0.50684,0.9531,0.74924,0.96603,0,0.49168,0.35875,0.35762,0.29286,0.4879,0.35857,0.3587,0.27883,0.70589,1.52684,1.67081,1.13809,0,3.59166e-05,3.59166e-05,3.59166e-05
64,15536.7,0.50191,0.94478,0.74147,0.96238,0,0.44108,0.37522,0.35467,0.29102,0.45848,0.36572,0.35419,0.27665,0.70378,1.50918,1.68966,1.13619,0,3.49959e-05,3.49959e-05,3.49959e-05
65,15778.9,0.50165,0.94923,0.73335,0.9642,0,0.481,0.37297,0.3532,0.28971,0.47671,0.37384,0.35375,0.27567,0.71116,1.52122,1.71497,1.1448,0,3.40752e-05,3.40752e-05,3.40752e-05
66,16020.7,0.49893,0.94036,0.72271,0.96241,0,0.46963,0.36336,0.35077,0.28677,0.46746,0.36389,0.35204,0.27403,0.71451,1.53649,1.71092,1.14831,0,3.31545e-05,3.31545e-05,3.31545e-05
67,16261.4,0.4968,0.93828,0.72477,0.95835,0,0.50349,0.35516,0.35085,0.28826,0.50911,0.35672,0.35357,0.27525,0.71266,1.53884,1.71216,1.14783,0,3.22338e-05,3.22338e-05,3.22338e-05
68,16502.2,0.49639,0.9346,0.71201,0.9603,0,0.45808,0.36748,0.35158,0.28859,0.4573,0.36991,0.35518,0.27497,0.71016,1.52869,1.70609,1.14195,0,3.13131e-05,3.13131e-05,3.13131e-05
69,16741.6,0.49293,0.92912,0.70844,0.95571,0,0.47215,0.36361,0.35684,0.29218,0.49177,0.36032,0.35836,0.27961,0.71131,1.53039,1.69703,1.14248,0,3.03924e-05,3.03924e-05,3.03924e-05
70,16978.8,0.4936,0.92739,0.70072,0.95685,0,0.47408,0.36003,0.35967,0.29494,0.47792,0.36108,0.36159,0.28071,0.70732,1.5287,1.68597,1.13869,0,2.94717e-05,2.94717e-05,2.94717e-05
71,17216.1,0.49004,0.92764,0.69268,0.95439,0,0.48834,0.34961,0.35145,0.29051,0.49086,0.34962,0.35404,0.27626,0.70552,1.54184,1.70655,1.14359,0,2.8551e-05,2.8551e-05,2.8551e-05
72,17453.2,0.48764,0.91992,0.69136,0.9524,0,0.49638,0.35645,0.35123,0.28974,0.49523,0.35785,0.35275,0.27543,0.70719,1.5412,1.71196,1.14288,0,2.76303e-05,2.76303e-05,2.76303e-05
73,17689.5,0.48943,0.9153,0.68312,0.9542,0,0.47987,0.35838,0.35775,0.2959,0.49363,0.35677,0.36168,0.28224,0.70499,1.5257,1.69542,1.14096,0,2.67096e-05,2.67096e-05,2.67096e-05
74,17924.2,0.48971,0.92396,0.68889,0.9544,0,0.45524,0.37138,0.3592,0.29425,0.45647,0.36978,0.35998,0.2805,0.70657,1.52978,1.7002,1.1423,0,2.57889e-05,2.57889e-05,2.57889e-05
